phase,request_id,model,status,input_tokens,output_tokens,recorded_latency_ms,assumed_hardware_usd_per_hour,modeled_compute_cost_usd
golden,req:32e5:48f0:783d:41c1:8352:a9a6:81b0:ba78,Qwen/Qwen2.5-1.5B-Instruct,ok,274,8,311.87904899996965,1.0,8.663306916665824e-05
golden,req:e45a:3366:2603:4c00:8c48:0c15:9845:bc31,Qwen/Qwen2.5-1.5B-Instruct,ok,254,29,1037.2646980000013,1.0,0.00028812908277777815
golden,req:b774:a7ed:593f:4bd2:ab92:1402:6cc8:47af,Qwen/Qwen2.5-1.5B-Instruct,ok,463,24,965.5976170000145,1.0,0.0002682215602777818
golden,req:07af:abd4:f0f8:43d4:aae6:7453:8a49:a58d,Qwen/Qwen2.5-1.5B-Instruct,ok,274,8,320.8081600000128,1.0,8.911337777778133e-05
golden,req:d6d8:a2ba:6572:46f1:a6bc:39f1:cbac:0bf0,Qwen/Qwen2.5-1.5B-Instruct,ok,254,29,1036.7640860000051,1.0,0.00028799002388889034
golden,req:9626:441b:6652:49b3:b828:f7ca:2273:6d4d,Qwen/Qwen2.5-1.5B-Instruct,ok,463,24,1114.6804940000266,1.0,0.0003096334705555629
golden,req:141f:c230:6d29:4d3f:87e0:7aa8:9304:8026,Qwen/Qwen2.5-1.5B-Instruct,ok,274,8,372.32196999997313,1.0,0.00010342276944443699
golden,req:0446:f9f2:5602:4f45:97a3:0479:4759:1c5a,Qwen/Qwen2.5-1.5B-Instruct,ok,254,29,1346.010342999989,1.0,0.0003738917619444414
golden,req:bbfc:3d62:f573:4ce4:860e:a4c4:4f5e:01fe,Qwen/Qwen2.5-1.5B-Instruct,ok,463,24,921.6562729999964,1.0,0.0002560156313888879
golden,req:11a5:a8eb:9ccf:47d5:be3f:99c6:198e:b3fa,Qwen/Qwen2.5-1.5B-Instruct,ok,274,8,320.61824199996636,1.0,8.906062277776843e-05
replay_no_cache,req:5f4f:ee64:3529:485a:839d:ca3e:a465:57f8,Qwen/Qwen2.5-1.5B-Instruct,ok,310,35,1264.024289999952,1.0,0.00035111785833332
replay_no_cache,req:2584:8b85:7b74:4110:9190:2312:3914:f19c,Qwen/Qwen2.5-1.5B-Instruct,ok,312,38,1371.9146619999947,1.0,0.00038108740611110964
replay_no_cache,req:8ece:c69d:a49d:4453:b6ef:307e:eb97:2b12,Qwen/Qwen2.5-1.5B-Instruct,ok,296,36,1331.5690499999846,1.0,0.0003698802916666624
replay_no_cache,req:f907:db41:50b4:4f31:b9af:e912:f1db:05e6,Qwen/Qwen2.5-1.5B-Instruct,ok,299,38,1403.9698229999544,1.0,0.00038999161749998735
replay_no_cache,req:bcf7:04f3:6163:47ee:832e:57ee:1e10:3e78,Qwen/Qwen2.5-1.5B-Instruct,ok,314,51,1850.4052279999996,1.0,0.0005140014522222222
replay_no_cache,req:71e6:432b:5a4b:45a4:9609:4a66:b914:9d4f,Qwen/Qwen2.5-1.5B-Instruct,ok,315,41,1537.854746999983,1.0,0.00042718187416666196
replay_no_cache,req:a26e:3501:38b7:444f:b91c:e274:c4eb:ae91,Qwen/Qwen2.5-1.5B-Instruct,ok,328,60,2710.4683559999785,1.0,0.0007529078766666607
replay_no_cache,req:f4e1:82e1:a2c1:4c03:bf54:d24b:0142:f9ba,Qwen/Qwen2.5-1.5B-Instruct,ok,328,75,2676.190453999993,1.0,0.0007433862372222203
replay_no_cache,req:5776:4ca9:968c:4944:a2c3:0c46:6696:8123,Qwen/Qwen2.5-1.5B-Instruct,ok,309,49,1795.1907340000162,1.0,0.0004986640927777823
replay_no_cache,req:3d9f:a146:0684:4c9a:b0d2:e727:ad5a:2798,Qwen/Qwen2.5-1.5B-Instruct,ok,298,36,1314.825173000031,1.0,0.00036522921472223084
replay_no_cache,req:2bed:f3b7:3130:48cd:86c9:b7a7:7b88:7b44,Qwen/Qwen2.5-1.5B-Instruct,ok,312,49,1771.8566970000325,1.0,0.0004921824158333423
replay_no_cache,req:a362:6baa:d105:4950:8f3e:809e:4f81:7056,Qwen/Qwen2.5-1.5B-Instruct,ok,329,60,2234.3636780000224,1.0,0.0006206565772222285
replay_no_cache,req:6d68:edf3:6f82:4938:a10e:dfce:1f53:34d1,Qwen/Qwen2.5-1.5B-Instruct,ok,306,48,2243.962936999992,1.0,0.0006233230380555533
replay_no_cache,req:0b4c:0552:2fa0:42b9:9567:b8db:bceb:aabe,Qwen/Qwen2.5-1.5B-Instruct,ok,306,32,1189.3760840000027,1.0,0.0003303822455555563
replay_no_cache,req:145f:1dc3:773c:4775:8642:4c5d:df75:847a,Qwen/Qwen2.5-1.5B-Instruct,ok,294,32,1140.559187000008,1.0,0.0003168219963888911
replay_no_cache,req:998d:fba7:c465:4e6e:b2a9:a8b7:9384:dba6,Qwen/Qwen2.5-1.5B-Instruct,ok,293,37,1351.7469020000021,1.0,0.0003754852505555562
replay_no_cache,req:d156:48c7:3b61:45a4:940a:5040:1779:5400,Qwen/Qwen2.5-1.5B-Instruct,ok,310,37,1315.4337710000163,1.0,0.00036539826972222677
replay_no_cache,req:f2c1:780a:acde:4c11:8059:f585:7685:eaae,Qwen/Qwen2.5-1.5B-Instruct,ok,309,35,1252.9797920000192,1.0,0.00034804994222222756
replay_no_cache,req:5300:3cbf:e096:4298:bd07:d5a6:6c57:edeb,Qwen/Qwen2.5-1.5B-Instruct,ok,324,27,977.0646890000307,1.0,0.00027140685805556407
replay_no_cache,req:e098:1571:4092:4a72:9306:a1ed:7f4b:3479,Qwen/Qwen2.5-1.5B-Instruct,ok,327,37,1373.1900809999615,1.0,0.000381441689166656
replay_no_cache,req:8fab:8005:866b:4e93:94dd:4e4b:43cf:4875,Qwen/Qwen2.5-1.5B-Instruct,ok,310,35,1373.1727979999846,1.0,0.00038143688833332907
replay_no_cache,req:5747:c56c:c5e1:46f1:9964:6dee:fe40:becf,Qwen/Qwen2.5-1.5B-Instruct,ok,312,38,1805.2411529999972,1.0,0.0005014558758333326
replay_no_cache,req:b73f:3897:0bae:4e42:8741:9946:4a0f:bae2,Qwen/Qwen2.5-1.5B-Instruct,ok,296,36,1586.456458999976,1.0,0.0004406823497222155
replay_no_cache,req:ad81:0da5:35e5:41de:b1a6:e309:1456:53a5,Qwen/Qwen2.5-1.5B-Instruct,ok,299,38,1427.2218220000354,1.0,0.00039645050611112096
replay_no_cache,req:ab5c:6c30:d6d9:4e62:83b2:2df6:ebe7:6cc6,Qwen/Qwen2.5-1.5B-Instruct,ok,314,51,1811.1590229999592,1.0,0.0005030997286110997
replay_no_cache,req:6052:b3d5:a706:456f:b68f:a93e:34e2:b71e,Qwen/Qwen2.5-1.5B-Instruct,ok,315,41,1447.9789460000347,1.0,0.0004022163738888985
replay_no_cache,req:498c:54de:7045:4bdb:b464:ea1e:572a:0b85,Qwen/Qwen2.5-1.5B-Instruct,ok,328,60,2136.2356000000204,1.0,0.0005933987777777834
replay_no_cache,req:02eb:af00:26a8:4d43:9ef5:c985:03f4:f36f,Qwen/Qwen2.5-1.5B-Instruct,ok,328,75,2758.482224999966,1.0,0.0007662450624999906
replay_no_cache,req:71a3:2d34:d9f8:4961:9910:78a6:3454:9792,Qwen/Qwen2.5-1.5B-Instruct,ok,309,49,2179.061726000043,1.0,0.0006052949238889009
replay_no_cache,req:734b:108b:9b0d:424c:afea:cb9e:3702:327b,Qwen/Qwen2.5-1.5B-Instruct,ok,298,36,1277.7079059999892,1.0,0.00035491886277777475
replay_no_cache,req:6da0:4a12:3f3b:4906:8ef3:571e:6829:a174,Qwen/Qwen2.5-1.5B-Instruct,ok,312,49,1729.8514630000454,1.0,0.0004805142952777904
replay_no_cache,req:7057:6fb5:67a9:4f1e:a9eb:d6e8:8d61:88cb,Qwen/Qwen2.5-1.5B-Instruct,ok,329,60,2106.316678999974,1.0,0.0005850879663888817
replay_no_cache,req:4429:0092:5844:4ac4:9db5:1658:c3f7:645c,Qwen/Qwen2.5-1.5B-Instruct,ok,306,48,1750.4294750000327,1.0,0.0004862304097222313
replay_no_cache,req:d93f:836f:0f4a:455b:93d1:6065:263d:41ac,Qwen/Qwen2.5-1.5B-Instruct,ok,306,32,1152.419817000009,1.0,0.00032011661583333583
replay_no_cache,req:53c3:6d1b:0f7e:4fb7:a245:93e0:0dc2:7789,Qwen/Qwen2.5-1.5B-Instruct,ok,294,32,1165.2003160000959,1.0,0.0003236667544444711
replay_no_cache,req:e7dd:dc9d:3fa4:4e65:9151:d73f:1bf0:4d93,Qwen/Qwen2.5-1.5B-Instruct,ok,293,37,1625.017822000018,1.0,0.00045139383944444946
replay_no_cache,req:5058:1ccc:0619:44c8:bb41:bdb1:e01f:64cb,Qwen/Qwen2.5-1.5B-Instruct,ok,310,37,1691.3575600000286,1.0,0.0004698215444444524
replay_no_cache,req:6c7a:9dfd:f8e2:4f8d:bfec:9b80:d58b:9210,Qwen/Qwen2.5-1.5B-Instruct,ok,309,35,1279.789328999982,1.0,0.0003554970358333283
replay_no_cache,req:58eb:1732:b177:4396:a403:2493:431c:29b3,Qwen/Qwen2.5-1.5B-Instruct,ok,324,27,973.7698149999687,1.0,0.0002704916152777691
replay_no_cache,req:8b13:5b8a:9690:47d5:b801:7cc6:6ef8:b973,Qwen/Qwen2.5-1.5B-Instruct,ok,327,37,1330.0009120000595,1.0,0.00036944469777779433
replay_response_cache,req:07cb:5669:bdd3:44b5:b673:2751:0edb:2e6e,Qwen/Qwen2.5-1.5B-Instruct,ok,310,35,1274.9925010000425,1.0,0.0003541645836111229
replay_response_cache,req:5606:7bf6:8778:4de1:b257:fe9a:683e:1be7,Qwen/Qwen2.5-1.5B-Instruct,ok,312,38,1382.2023669999908,1.0,0.0003839451019444419
replay_response_cache,req:8588:53b1:8217:480a:8221:52c4:574e:36d5,Qwen/Qwen2.5-1.5B-Instruct,ok,296,36,1325.473349000049,1.0,0.0003681870413889025
replay_response_cache,req:a8ac:1439:5c0b:4336:b8bc:8991:0ab1:7a54,Qwen/Qwen2.5-1.5B-Instruct,ok,299,38,1381.6058710000334,1.0,0.0003837794086111204
replay_response_cache,req:c6b1:cacb:ee81:446a:8c30:fd49:e1df:9824,Qwen/Qwen2.5-1.5B-Instruct,ok,314,51,2240.584715999944,1.0,0.0006223846433333177
replay_response_cache,req:a547:156e:eabf:4580:ac71:7e40:f7fb:3ed5,Qwen/Qwen2.5-1.5B-Instruct,ok,315,41,3180.9958509999205,1.0,0.000883609958611089
replay_response_cache,req:f10d:45e2:3311:4378:bd48:4abb:3334:3ef4,Qwen/Qwen2.5-1.5B-Instruct,ok,328,60,2136.279212999966,1.0,0.0005934108924999906
replay_response_cache,req:02c8:1a79:dedd:4761:a51b:0d87:811c:a636,Qwen/Qwen2.5-1.5B-Instruct,ok,328,75,2720.8910990000277,1.0,0.0007558030830555633
replay_response_cache,req:2e7c:668f:ef59:4036:bd35:762e:4479:a468,Qwen/Qwen2.5-1.5B-Instruct,ok,309,49,1760.2982339999471,1.0,0.000488971731666652
replay_response_cache,req:0ba6:53e4:8313:439f:8347:836a:5a7c:3a70,Qwen/Qwen2.5-1.5B-Instruct,ok,298,36,1409.4582870000067,1.0,0.0003915161908333352
replay_response_cache,req:442b:aae5:9cf9:4596:bbcb:bc5f:0a91:95ca,Qwen/Qwen2.5-1.5B-Instruct,ok,312,49,2297.591764999993,1.0,0.0006382199347222203
replay_response_cache,req:1fdb:12f2:45f5:4bb5:90cb:70f7:52fb:faa6,Qwen/Qwen2.5-1.5B-Instruct,ok,329,60,2139.701446999993,1.0,0.0005943615130555536
replay_response_cache,req:3075:a404:0532:4cf2:af26:b4ab:4ced:ea80,Qwen/Qwen2.5-1.5B-Instruct,ok,306,48,1741.536574999941,1.0,0.0004837601597222058
replay_response_cache,req:27e6:dc2d:2ab5:43a3:a101:3996:2fe4:ebc5,Qwen/Qwen2.5-1.5B-Instruct,ok,306,32,1192.9053630000226,1.0,0.0003313626008333396
replay_response_cache,req:44f5:9c29:471f:41e3:8c6c:f29d:725c:7d78,Qwen/Qwen2.5-1.5B-Instruct,ok,294,32,1165.8999989999757,1.0,0.00032386111083332656
replay_response_cache,req:d864:873a:766a:4722:a142:2c82:fa62:03db,Qwen/Qwen2.5-1.5B-Instruct,ok,293,37,1320.517992999953,1.0,0.00036681055361109807
replay_response_cache,req:db38:73f8:d41b:49b2:be6d:97af:1eba:a6c3,Qwen/Qwen2.5-1.5B-Instruct,ok,310,37,1354.8612959999673,1.0,0.00037635035999999093
replay_response_cache,req:dbc4:d48d:b1a2:4e32:9baa:70dc:93d6:0b74,Qwen/Qwen2.5-1.5B-Instruct,ok,309,35,1434.9879620000365,1.0,0.00039860776722223235
replay_response_cache,req:6558:88ed:b4d6:4da2:80b5:6ea0:e004:9629,Qwen/Qwen2.5-1.5B-Instruct,ok,324,27,1278.1918579999,1.0,0.00035505329388886114
replay_response_cache,req:355f:5efe:32b6:4129:b4b8:6f19:051d:95da,Qwen/Qwen2.5-1.5B-Instruct,ok,327,37,1495.430340000098,1.0,0.0004153973166666939
